id,subject,exam_no,question_text,created_at,type_of_ac,kategori
0020d82a-a6a3-405b-a386-6502f417c56f,INITIAL,1,At what RPM will the start valve be commanded closed?,2026-02-23 02:22:32.802188+00,B737-800 NG,Airframe & Powerplant
004a19cc-b0e8-4ca4-a98a-68a1537478f1,INITIAL,1,Who is responsible to Approved the RVSM Operations within airspace designated as Reduced Vertical Separation Minimum airspace (CASR 91.180a]?,2026-02-23 02:24:20.05869+00,All Aircraft,REGULASI
007c7a9e-0107-4fdb-a8a7-b552512983d2,INITIAL,1,How many flight legs can be stored in the CMCF and how many flight phase in one leg can be identified by CMCF?,2026-02-27 04:10:55.913436+00,B777-300 ER,Electric & Avionic
009a9ca1-8478-40d3-982a-8fcd961f0084,INITIAL,1,The maint switch is the has three has position MFD 1/OFF/MFD2. In the OFF position :,2026-02-23 02:23:46.429135+00,CRJ1000,Airframe & Powerplant
00a06ed7-fd71-49ce-85f1-572d266bf5e8,INITIAL,1,What is the function of the T/R interlock actuator on  the ASM brake assembly?,2026-02-23 02:23:34.16744+00,B777-300 ER,Airframe & Powerplant
00ad6774-c4ea-4992-a99e-2011af8467be,INITIAL,1,What component in B737 max does replace the Spoiler Mixer (in B737-NG)?,2026-02-23 02:23:12.914639+00,B737-MAX,Airframe & Powerplant
00b3ec03-c4f2-449f-88de-24444165bc25,INITIAL,1,By what is the normal landing gear operating sequence controlled?,2026-02-23 02:21:47.480664+00,Airbus A330-Series,Airframe & Powerplant
00b4f414-c5d4-48fe-affa-dcd3ddcfad84,INITIAL,1,"What does it means ""ON BAT"" Amber Light illuminate on the ADIRS overhead panels when Aircraft on the Ground?",2026-02-23 02:22:07.676033+00,Airbus A330-Series,Electric & Avionic
0103a744-425a-4175-9d61-80574a10dcc1,INITIAL,1,Stand by altimeter and air speed indicator is get input from :,2026-02-23 02:23:20.891337+00,B737-MAX,Electric & Avionic
010b6dc7-bb72-4b4a-a3e7-1d3565fde54b,INITIAL,1,For high bank angle :,2026-02-23 02:46:59.559634+00,ATR72,Electric & Avionic
01191abe-efe1-4ed4-b000-2134a3753b90,INITIAL,1,The Landing Attitude Modiier (LAM) in Boeing 737 Max does two things as mention bellow are correct:,2026-02-23 02:23:08.596513+00,B737-MAX,Airframe & Powerplant
0134ee2f-1227-41a0-973c-45e05fafe674,INITIAL,1,"Assuming normal operation in flight, when are the DC EMER BUS and DC ESS BUS connected to the DC BUS 1 and/or DC BUS 2?",2026-02-23 02:46:52.416938+00,ATR72,Airframe & Powerplant
01355012-bf57-47fa-bf36-6070ecf8b8f9,INITIAL,1,"Which of the following product is/are allowed to be installed on an aircraft maintenance? ",2026-02-23 02:24:08.506923+00,All Aircraft,REGULASI
014152b3-23cc-4996-989d-6919728dc635,INITIAL,1,Select the module responsible for operating the automatic Flight Control System :,2026-02-23 02:23:45.174691+00,CRJ1000,Airframe & Powerplant
01561f38-8570-4d92-b3e7-620ba0f0e07e,INITIAL,1,Which data is not supply by MMR to AIMS :,2026-02-27 04:06:27.560071+00,B777-300 ER,Airframe & Powerplant
01595e60-62be-4806-b2e4-3e363353eab1,INITIAL,1,What is the funcion of NGL transfer cylinder ?,2026-02-23 02:23:48.434174+00,CRJ1000,Airframe & Powerplant
01783c14-3ba9-4aa9-b193-6f2ec080db55,INITIAL,1,What indication is displayed if a no-computed data condition acours while the distance measuring equipment (DME) tranceiver is in search mode ?,2026-02-23 02:48:19.471939+00,CRJ1000,Airframe & Powerplant
018062b1-0549-4211-bb1d-4cad6f9d0a10,INITIAL,1,What oil sump that lubricate engine main bearing N1 and N2?,2026-02-27 04:07:17.163057+00,B777-300 ER,Airframe & Powerplant
018d395f-0e29-46db-a270-d9a39ff6e575,INITIAL,1,Where is location of L/G selector valve ?,2026-02-23 02:48:23.183724+00,CRJ1000,Airframe & Powerplant
